session_id,session_type,speaker,input_text,emotion,conflict_type,response_type,privacy_level,ai_response,input_output
BM00001,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00002,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00003,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00004,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00005,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00006,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00007,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00008,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00009,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00010,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00011,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00012,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00013,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00014,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00015,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00016,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
